transect_name,buffer_size,ndvi_mean,bu_mean,ndvi_var,bu_var
Early afternoon stroll,40,0.584408750678216,0.390334081185145,0.0232314745019015,0.0164909932490751
Early afternoon stroll,90,0.601056425434799,0.372279842965832,0.0274229418002818,0.0210129310755474
Chapel to circle,40,0.533752413492292,0.408578007410609,0.023462699992986,0.0188947395324568
Chapel to circle,90,0.513543459845761,0.426900916336118,0.0366225873924117,0.0287349928059554
Research to Erwin,40,0.300966622707527,0.616523803927211,0.0246002316722351,0.0153829462280219
Research to Erwin,90,0.24631520956393,0.659954354281604,0.0292888139710157,0.0186902306575206
Science drive ,40,0.451421101009273,0.466568712875804,0.0177530891022528,0.0146965385640504
Science drive ,90,0.415227547011887,0.499799697595922,0.0304733574708854,0.0234592976677771
Squirrels downtown,40,0.264774699552029,0.635796583677151,0.041164788439701,0.0252975749210291
Squirrels downtown,90,0.299601631290395,0.607295529296852,0.0459461903176007,0.0287720804639243
Squirrels Duke Forest,40,0.86638692557043,0.113399478031981,0.00538174178412965,0.00385862721468281
Squirrels Duke Forest,90,0.868511129266669,0.113284585796247,0.00606866575021538,0.00427396691051887
